# k/h z=0 z=0.5 z=1 z=3
8.899641224696953554e-03 2.082234981387098378e+04 1.229820812208742245e+04 7.654182575694780098e+03 2.067623914196813530e+03
1.507912216506557788e-02 2.468704460925627791e+04 1.459693696668179837e+04 9.090581390991441367e+03 2.457550712375888907e+03
2.144790186456836667e-02 2.396292753494448698e+04 1.418913294093705008e+04 8.843815339079723344e+03 2.393226446563543050e+03
2.783660776489276650e-02 2.116658989985141670e+04 1.255187495610346741e+04 7.829949693335038319e+03 2.121039044870477028e+03
3.435099785803411021e-02 1.789005080717797318e+04 1.062254317376900872e+04 6.631391679930723512e+03 1.798012288475128571e+03
4.047886761425745911e-02 1.527082905342241975e+04 9.074923973252594806e+03 5.668058059165783561e+03 1.537703128827178716e+03
4.676716683575679601e-02 1.331106912058587113e+04 7.916323441864195047e+03 4.946729451623596105e+03 1.342778487504180930e+03
5.308225101765951665e-02 1.197554071010362532e+04 7.128151942479116769e+03 4.456495301480925264e+03 1.210411117116821742e+03
5.945362440940590160e-02 1.101605363589650005e+04 6.565025869057176351e+03 4.107407770696263469e+03 1.116564612664642937e+03
6.576224814588792211e-02 1.023877620685731563e+04 6.109636385894731575e+03 3.825357692316562861e+03 1.040774183319192389e+03
7.196632906698736953e-02 9.432996163516994784e+03 5.633304999792519993e+03 3.528861439526455797e+03 9.606595868699423590e+02
7.827860915688347743e-02 8.536838520283430626e+03 5.095290877323384848e+03 3.190882168844763783e+03 8.682307017836898240e+02
8.470398945834539672e-02 7.600883768060552939e+03 4.526113635090544449e+03 2.830693138642991471e+03 7.688492477022765570e+02
9.096854620527369817e-02 6.759457023293522070e+03 4.009125336886101195e+03 2.501504886394015102e+03 6.772790703619386932e+02
9.720789776830213169e-02 6.054178047013028845e+03 3.573926851992409411e+03 2.223693241770850818e+03 5.997650998538933891e+02
1.034763038959366499e-01 5.507812822194599903e+03 3.237482854730136296e+03 2.009053039906394588e+03 5.398509865849612197e+02
1.097576444254559219e-01 5.109603027615991778e+03 2.996346471246035890e+03 1.856755405327894778e+03 4.978976770601153135e+02
1.160543084780093354e-01 4.815180434480288568e+03 2.822888203100369083e+03 1.749024810976405433e+03 4.688419213755520900e+02
